Species,Beak.Length_Culmen,Beak.Width,Wing.Length,Mass,Mppersp,Habitat,Trophic.Niche,Migration
Phaethon aethereus,66.4,8.8,309.2,750,,Marine,Aquatic predator,3
Puffinus lherminieri,31,4.9,185.3,192.8,,Marine,Aquatic predator,2
Sula leucogaster,100.9,20.5,388.6,1288.8,,Marine,Aquatic predator,2
Bulweria bulwerii,21.6,4.8,203.2,99,,Marine,Aquatic predator,2
Calonectris edwardsii,42.8,8.2,309,535,,Marine,Aquatic predator,3
Phaethon aethereus,66.4,8.8,309.2,750,,Marine,Aquatic predator,3
Puffinus lherminieri,31,4.9,185.3,192.8,,Marine,Aquatic predator,2
Sula leucogaster,100.9,20.5,388.6,1288.8,,Marine,Aquatic predator,2
Bulweria bulwerii,21.6,4.8,203.2,99,,Marine,Aquatic predator,2
Calonectris edwardsii,42.8,8.2,309,535,,Marine,Aquatic predator,3
